field	discovery_year	status	recoverable_oil	recoverable_gas	recoverable_oe	produced_oil	produced_gas
25/1-11 R (Storklakken)	2010	DEVELOPMENT LIKELY BUT NOT CLARIFIED	1.45	0.00	1.45	0.00	0.00
25/5-7 ATLA	2010	PRODUCING	0.30	1.20	1.50	0.17	0.61
34/4-11 (Beta)	2010	DEVELOPMENT LIKELY BUT NOT CLARIFIED	7.34	0.66	8.00	0.00	0.00
6406/3-8 MARIA	2010	PDO APPROVED	24.80	2.00	28.50	0.00	0.00
6506/9-2 S (Fogelberg)	2010	PLANNING PHASE	1.41	7.62	9.75	0.00	0.00
6507/7-14 S (Zidane)	2010	PLANNING PHASE	0.00	17.92	18.57	0.00	0.00
24/9-10 S (Caterpillar)	2011	DEVELOPMENT LIKELY BUT NOT CLARIFIED	1.24	0.10	1.34	0.00	0.00
30/11-8 S (Krafla)	2011	PLANNING PHASE	0.00	0.05	0.08	0.00	0.00
6607/12-2 S (Alve Nord)	2011	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.88	4.86	7.00	0.00	0.00
7220/8-1 JOHAN CASTBERG	2011	PLANNING PHASE	0.00	12.60	12.60	0.00	0.00
8/10-4 S (Butch)	2011	PLANNING PHASE	7.51	0.70	8.21	0.00	0.00
33/12-9 S (Skinfaks Sør)	2012	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.55	0.45	1.08	0.00	0.00
34/6-2 S (Garantiana)	2012	DEVELOPMENT LIKELY BUT NOT CLARIFIED	5.95	0.24	6.19	0.00	0.00
35/9-7 (Skarfjell)	2012	PLANNING PHASE	16.12	3.99	21.19	0.00	0.00
16/4-6 S (Luno II)	2013	DEVELOPMENT LIKELY BUT NOT CLARIFIED	6.39	1.87	8.26	0.00	0.00
25/11-27	2013	DEVELOPMENT LIKELY BUT NOT CLARIFIED	3.30	0.00	3.30	0.00	0.00
6407/8-6 (Snilehorn)	2013	PLANNING PHASE	6.78	1.68	8.93	0.00	0.00
6608/10-15 (Svale Nord)	2013	PLANNING PHASE	1.95	0.11	2.08	0.00	0.00
7324/8-1 (Wisting)	2013	DEVELOPMENT LIKELY BUT NOT CLARIFIED	17.90	0.70	18.60	0.00	0.00
25/5-9 (Trell)	2014	DEVELOPMENT LIKELY BUT NOT CLARIFIED	2.10	0.00	2.10	0.00	0.00
30/11-10 (Krafla Nord)	2014	DEVELOPMENT LIKELY BUT NOT CLARIFIED	2.00	0.00	2.00	0.00	0.00
6406/12-3 A (Bue)	2014	DEVELOPMENT LIKELY BUT NOT CLARIFIED	1.98	0.27	2.25	0.00	0.00
6406/12-3 S (Pil)	2014	PLANNING PHASE	14.40	4.21	18.61	0.00	0.00
7220/11-1 (Alta)	2014	DEVELOPMENT LIKELY BUT NOT CLARIFIED	26.10	9.70	35.80	0.00	0.00
